"Why not to buy from Southtown Dodge, AKA Southtown Dodge Sucks",Why-not-to-buy-from-Southtown-Dodge-AKA-Southtown-Dodge-Sucks,"<p>Well lets begin the story with a little background.</p>

<p>The Mad Blogger was in the mood for a new ride. He&#39;s been driving a 2003 Nissan 350Z for 3+ years now, and wanted something up off the ground, a bit more visible and much larger. So he began by searching for used Chevrolet Tahoes. Why a Tahoe? Why not, The Mad Blogger can afford gas, even as prices rise, so why bother with trying to be &quot;green&quot;, The Mad Blogger is not PC.</p>

<p>It didn&#39;t take TMB (The Mad Blogger) long to find what he was looking for. A 2005 Chevrolet Tahoe Z71, 4x4, every option on it except for a third row seat, and navigation. The Mad Blogger has no kids, he needs not a third row seat, he&#39;s also a man, he can find his way out of a pitchdark room with no doors, navigation is not a necessity.</p>

<p>He found his new ride at Southtown Dodge on Lindbergh Blvd in south St. Louis County. Now it was time to deal. The Tahoe had been sitting on the lot for over 90 days when TMB found it, so this meant he should be able to get a good deal. Priced out on KBB.com TMB found it to have a value of roughly $34k, asking price on it was $26,903. First offer to the dealer, Southtown Dodge, salesman was Mike Wall, was 25,500. The dealer wouldn&#39;t budge, they said they were at their clearance price and wouldn&#39;t come down. $26903, plus a BS fee of $97 dollars for paperwork.</p>

<p>The Mad Blogger would have none of this, he came back with another offer of $26,500 a day later, the dealer still wouldn&#39;t budge. They did know what the truck was worth, and weren&#39;t going to move on it. Fine, The Mad Blogger knows when to jump on a good deal. So he calls the dealer up this morning to tell them he&#39;ll be there at 4:30pm to give them his pre-approved loan information, and pick up the vehicle. Good ole Mike Wall comes back and says, sorry, we can&#39;t clean it up for delivery till we have a deposit or have started on the paperwork. So The Mad Blogger agrees to go down there over his lunch break and get the paperwork started. TMB doesn&#39;t really care if they clean the Tahoe, it&#39;s going to rain today, all he wanted was them to put the Brush Bar back on the front which they had removed between the first time TMB looked at it and the second time he went back.</p>

<p>TMB arrives at the dealer shortly after 11:30am this morning, good ole Mike Wall is there with the paperwork already started. Mike looks over The Mad Blogger&#39;s preapproved loan information and tells him that he won&#39;t be able to turn the Tahoe over to TMB for 7-10 days. WTF? Excuse The Mad Blogger, did you just tell him he can&#39;t pickup this truck today? TMB&nbsp;comes in with a loan check that he&#39;s been told is as good as cash and Southtown Dodge won&#39;t let him take the vehicle for 7-10 days? TMB don&#39;t think so.</p>

<p>After 15-20 minutes of no progress The Mad Blogger decides it&#39;s time to leave. The first thing TMB does it call up his lender to verify that the check should be good as gold with a dealer. They confirm this and say that they don&#39;t have problems with dealers accepting their checks, they did offer to talk to the dealer and have them a check mailed next day to arrive on Saturday. TMB declines, he&#39;s done dealing with Southtown Dodge. TMB decides he&#39;ll check for himself and jumps off the highway to stop at another dealer, Sunset Ford. The sales guy at Sunset Ford (sorry&nbsp;TMB didn&#39;t get his name to give him props) said they would have no problem accepting the TMB preapproved loan check and selling him a vehicle on the spot. Unfortunately for The Mad Blogger they didn&#39;t have a used Tahoe on the lot.</p>

<p>So, what&#39;s the moral of The Mad Blogger&#39;s story? Don&#39;t let a dealer like Southtown Dodge jack you around. If the sales guy, Mike Wall, or whomever your sales person is, EVER acts like a *** to you, walk out of there. The Mad Blogger took a little crap from Mike hoping he&#39;d still get a good deal on this truck. He got nothing but a weeks worth of wasted time when he could have found another vehicle.</p>

<p>Southtown Dodge Sucks!</p>",2006-08-25,html
Shop at Dave Sinclair Lincoln Mercury! The day was saved!,Shop-at-Dave-Sinclair-Lincoln-Mercury-The-day-was-saved,"<p>So The Mad Blogger (TMB) went out shopping for a car this evening, trying to repair <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"">the chaos that was earlier today</a>.</p>

<p>Long story short (it&#39;s too late right now, long story to come tomorrow), TMB is VERY happy this morning(night). TMB has a new ride. An 05 Chevy Tahoe Z71 with less than 8k miles on it! TMB will ALSO be getting some 20&#39;s tomorrow morning for the Tahoe. Photos and the rest of the story to come tomorrow!</p>

<p><a href=""http://www.flickr.com/photos/chammond/224920125/"">Flickr photo</a></p>",2006-08-26,html
"How The Mad Blogger got happy, Thanks to Dave Sinclair Lincoln Mercury...",How-The-Mad-Blogger-got-happy-Thanks-to-Dave-Sinclair-Lincoln-Mercury,"<p>So some of you have read how <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"">The Mad Blogger&#39;s Friday started out</a>. In summary, it started out horrible all due to <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"">Southtown Dodge</a>. This story however, is about how TMB&#39;s Friday ended up, and we must say, it ended up FAR better than it started out! After the whole fiasco with <a href=""http://themadblogger.org/blogs/themadblogger/archive/2006/08/25/Why-not-to-buy-from-Southtown-Dodge_2C00_-AKA-Southtown-Dodge-Sucks.aspx"">Southtown</a> TMB decided he&#39;d drive around to a few other car dealers on Friday evening. Prior to heading out he spent a couple hours searching on the new for a Tahoe Z71 in the St. Louis area. </p>

<p>TMB didn&#39;t have much luck with the web searching, there didn&#39;t appear to be too many Z71s in the St. Louis area that were low mileage and not in the maroon color. Not to be drug down by the lack of results TMB decided he&#39;d try it the old fasioned way and visit some of the local dealers. First on the map was Elco Chevrolet, a division of the Enterprise Leasing Company, down on Manchester road. The Mad Blogger spent nearly 3 hours at Elco Chevrolet talking to a nice salesman named Eric. Eric was possibly the most knowledgable salesperson that TMB has ever dealt with, that definitely helped keep him in their grasp. They had a 2005 Tahoe Z71, white (TMB&#39;s preferred color), but it had a few things that were of concern. It was an 05, but had 34k miles on it, TMB was looking for something that was still going to be covered by a factory warranty for some time. Also of concern was that the vehicle smelled like smoke (TMB doesn&#39;t smoke, be patient, TMB will be sure to rant about smokers in a future post), and the condition of the paint. The vehicle had quite a few rock chips as well as a few dings and scrapes here and there.</p>

<p>TMB can be kind of anal, so these things sat big on TMB&#39;s mind and luckily delayed him from purchasing the vehicle Friday evening. After a few hours of talking with Eric at Elco TMB made his way further west on Manchester and as he drove by Dave Sinclair Lincoln Mercury noticed a dark colored Z71 sitting in the used lot with a pricetag of $29900. TMB swung his car around and quickly made his way over to this used Tahoe. It was immaculate, and TMB about fell over when he saw the mileage on the car. 7600 miles, could that be right? Was that just a trip meter or the odometer?</p>

<p>After a few double takes TMB was out on a test drive with his salesman Kevin. Kevin was straight up honest, they had just taken the car in on trade a couple days ago and it hadn&#39;t been cleaned up, though it honestly didn&#39;t need it. After a quick test drive TMB started on the paperwork. Dave Sinclair Lincoln Mercury&nbsp;had no problems with the&nbsp;pre-approval check, they even called up the bank to&nbsp;confirm everything with them.</p>

<p>Dave Sinclair LM also offered TMB a second set of wheels for the Tahoe. They had a digital picture but had some problems printing it out, TMB ended up buying this second set of wheels for an additional $600, though he&#39;s not yet taken possession of this additional set of tires, he&#39;ll be picking them up Monday August 28th!</p>

<p>After about 2 hours total at Dave Sinclair TMB drove off in his 2005 Chevrolet Tahoe, which at the time had 76** miles on it, though as of this post has over 7800 miles on it now! The Mad Blogger would love to thank Dave Sinclair Lincoln Mercury for salvaging his Friday night and providing such a great vehicle!</p>",2006-08-27,html
Zapatas Mexican Restaurant on Manchester Road in Missouri,Zapatas-Mexican-Restaurant-on-Manchester-Road-in-Missouri,"<p><a href=""http://chrishammond.com/blogs/archive/2006/05/10/Zapatas_on_Manchester_Sucks.aspx"">Originally posted here...</a></p>

<p>If you&#39;re looking for some good Mexican food, DON&#39;T go to Zapatas on Manchester Road!</p>

<p>The Mad Blogger&nbsp;went&nbsp;w/ the office the day they opened, for lunch, to give them a shot. The food was horrible, no one enjoyed their meals. TMB figured, maybe, just maybe, that was just a bad day to go, the first day a place is open.</p>

<p>So, a month later,&nbsp;TMB tried it again. TMB and Family went there for dinner. It was STILL HORRIBLE. The food is just very low quality, high prices and&nbsp;the chips both times tasted burnt.</p>

<p>So, if you are looking for a restaurant on Manchester road for some good Mexican, TMB suggests trying one of the other places on Manchester Road. Senor Pique&#39;s (sp?) down near Sulpher Springs Road is a good start,&nbsp;TMB&#39;s eaten there on many occasions and it&#39;s been great food and service.</p>

<p>Don&#39;t eat at Zapata&#39;s, trust The Mad Blogger!</p>",2006-08-28,html
"Charter Cable, Internet, Telephone Customer Service Blows",Charter-Cable-Internet-Telephone-Customer-Service-Blows,"<p>If you&#39;re looking to get Digital Cable, Internet or Phone Service from Charter Communications, The Mad Blogger would HIGHLY recommend looking to another provider!</p>

<p>TMB has had horrible experiences with Charter over the past few months. <a href=""http://chrishammond.com/blogs/archive/2006/08/15/Charter-Sucks.aspx"">To read about some of them check out this link.</a>&nbsp;Just so you know TMB isn&#39;t the only one complaining check out this recent article in the <a href=""http://www.stltoday.com/stltoday/business/columnists.nsf/techtalk/story/79D69F12C866F53286257194004A5C3E?OpenDocument"">St. Louis Post Dispatch</a>!</p>

<p>Moral of the story? Charter Sucks! Use someone else! Though, TMB also doesn&#39;t recommend Directv, more on that story later!</p>",2006-08-29,html
MTV VMAs,MTV-VMAs,"<p>So The Mad Blogger sat at home this evening hoping to be highly entertained by the 2006 VMAs on MTV. TMB got to watch the VMAs in HD on MHD, Music HD, an apparent compilation HD channel for MTV VH1 and CMT.</p>

<p>Jack Black was hosting the show and started out his intro, it was terrible. TMB is&nbsp;a huge fan of Jack Black, TMB loves all of his work, but tonight it was flat out horrible. The only redeeming value of the whole VMA show was the OK GO dance routine they performed on treadmills.</p>

<p>Here are a few other comments from The Mad Blogger.</p>

<p>Lil Kim: Who cares, you got out of jail, no one really missed you.</p>

<p>Fifty Cent and LL Cool J: WTF were you guys rambling about? (TMB likes your music, just not your talking)</p>

<p>Kanye West: Sorry dude, 95% of America still hates you, TMB is included in this 95%.</p>

<p>Sarah Silverman: Nothing you said all night was funny, who are you anyways?</p>

<p>Jackass Number 2: TMB can&#39;t wait to see this one!</p>

<p>The Mad Blogger will surely remember more to rant about in the morning. For now,TMB needs some beauty sleep.</p>

<p>&nbsp;</p>",2006-09-01,html
"Big tip, big taxes!",Big-tip-big-taxes,"<p>Now hear this, The Mad Blogger is not suggesting anyone try to skip paying taxes to the IRS, <a href=""http://www.cnn.com/2006/US/08/31/bigtip.ap/index.html"" target=""_blank"">but this girl should never have made a mention about this huge tip, other than to her bosses to verify it was legit.</a></p>

<p>Now she&#39;s going to pay a big ole fat portion of that tip in taxes. Granted, because the tip was on a credit card she&#39;d probably have to report it on taxes anyways, but I&#39;d bet the tipper wasn&#39;t exactly looking for a lot of National press out of it. She also mentioned buying a Jeep with it, I hope it&#39;s a used jeep, because that tip once the taxes are taken won&#39;t buy any new car!</p>

<p>TMB worked in a restaurant for a few years in college, and always reported his tips, but I&#39;m sure many people in the industry make hundreds of dollars a night without reporting 5% of that money to the IRS.</p>",2006-09-01,html
Ford 6.0 Liter Diesels suck!,Ford-60-Liter-Diesels-suck,"<p>Here goes another rant by The Mad Blogger, hold on to your seats folks.</p>

<p>The Mad Blogger and his bloggette own a 2004 Ford F350, 6.0 liter diesel. It has 53k miles on it, and has gone into the shop 3 times in the last 2 months. Since it&#39;s been in TMB&#39;s possession it&#39;s been in&nbsp;5-6&nbsp;times. </p>",2006-09-05,html
UPS Insurance Sucks,UPS-Insurance-Sucks,"<p>Just because&nbsp;The Mad Blogger is still bitter about things that other companies have done in the past TMB&nbsp;needed to bring up some old posts to rant about. </p>

<p>1&nbsp;<a href=""http://www.solo2.org/home/aid/88"">http://www.solo2.org/home/aid/88</a>&nbsp;</p>

<p>2&nbsp;<a href=""http://www.solo2.org/home/aid/45"">http://www.solo2.org/home/aid/45</a>&nbsp;</p>

<p>3&nbsp;<a href=""http://www.solo2.org/home/aid/25"">http://www.solo2.org/home/aid/25</a>&nbsp;</p>

<p>4&nbsp;<a href=""http://www.solo2.org/home/aid/24"">http://www.solo2.org/home/aid/24</a></p>

<p>5&nbsp;<a href=""http://www.solo2.org/home/aid/20"">http://www.solo2.org/home/aid/20</a></p>

<p><a href=""http://www.solo2.org/home/aid/20""></a>6&nbsp;<a href=""http://www.solo2.org/home/aid/17"">http://www.solo2.org/home/aid/17</a>&nbsp;</p>

<p>TMB would highly suggest using another shipping company, anything but UPS. TMB goes out of his way to use Fedex or DHL whenever possible, just because of the crap that UPS and their insurance company, Liberty Mutual, tried to pull over on The Mad Blogger.</p>

<p>Well guess what guys, TMB is still mad!</p>",2006-09-05,html
Gas in St. Louis Missouri,Gas-in-St-Louis-Missouri,"The Mad Blogger is loving the recent cheap gas prices here in St. Louis. After buying a large gas guzzling SUV gas prices have dropped down to 2.29 for the cheap stuff! Rock on, score one for TMB.",2006-09-10,html
